,Metrics,SVC,DT,RF,XGB,LR,KNN,MLP,GNB
0,Accuracy,0.7586206896551724,0.7241379310344828,0.75,0.7068965517241379,0.7155172413793104,0.7327586206896551,0.8017241379310345,0.7327586206896551
1,Precision,0.7593589467532069,0.7242211473448796,0.7552270011947432,0.7076655695345904,0.7158353858784893,0.7356834975369458,0.8030618311533888,0.7326653680371353
2,Recall,0.7586206896551724,0.7241379310344828,0.75,0.7068965517241379,0.7155172413793104,0.7327586206896551,0.8017241379310345,0.7327586206896551
3,F1 Score,0.7587643678160918,0.7233117493364728,0.7498699368264584,0.7070710180623972,0.7156231466576295,0.7328579300093543,0.8018568428286786,0.732219142765066
4,Specificity,0.7636363636363637,0.6727272727272727,0.8,0.7090909090909091,0.7090909090909091,0.7636363636363637,0.8181818181818182,0.6909090909090909
5,Cohen Kappa,0.51681047307349,0.44481005085252767,0.5017772511848342,0.41326986016066647,0.43001786777843953,0.46646884272997036,0.603448275862069,0.46264196054991036
6,AUC,0.8500745156482862,0.7216095380029806,0.8853949329359165,0.8602086438152012,0.7520119225037258,0.814903129657228,0.8709388971684054,0.7517138599105812
